0x1, CRC-1, Parity bit
0x3, CRC-4-ITU, ITU G.704
0x15, CRC-5-ITU,  ITUI G.704
0x05, CRC-5-USB
0x03, CRC-6-ITU , ITU G.704
0x09, CRC-7, MMC, SD
0x07, CRC-8-ATM, ATM HEC
0x8D, CRC-8-CCITT, 1-Wire bus
0x31, CRC-8-Dallas/Maxim, 1-Wire bus
0xD5, CRC-8
0x1D, CRC-8-SAE J1850
0x233, CRC-10 	
0x385, CRC-11, FlexRay 	
0x80F, CRC-12, Telecom systems
0x4599, CRC-15-CAN 	
0x8408, CRC-16-X25
0x1021, CRC-16-CCITT, G.hn PHY headers, 802.15.4, X.25, V.41, CDMA, Bluetooth, XMODEM, HDLC, PPP, IrDA, BACnet, MMC, SD 	
0x3D65, CRC-16-DNP, DNP, IEC 870, M-Bus 	
0x8005, CRC-16-IBM, SDLC, USB
0x0589, R-CRC-16	
0x864CFB, CRC-24-Radix-64, FlexRay
0x000000AF, XFER 	
0x2030B9C7, CRC-32, CDMA 	
0x04C11DB7, CRC-32-IEEE 802.3, V.42, MPEG-2, PNG, POSIX checksum 	
0x1EDC6F41, CRC-32C (Castagnoli), iSCSI, G.hn payload 	
0x741B8CD7, 0xEB31D82E, 0xBA0DC66B, CRC-32K (Koopman) 	
0x000000000000001B, CRC-64-ISO, HDLC - ISO 3309 
0x42F0E1EBA9EA3693, CRC-64-ECMA-182 	


